Age,2000,2999.99,3000,4000
0,1,1,1.088,1.088
1,1,1,1.088,1.088
2,1,1,1.088,1.088
3,1,1,1.088,1.088
4,1,1,1.088,1.088
5,1,1,1.088,1.088
6,1,1,1.088,1.088
7,1,1,1.088,1.088
8,1,1,1.088,1.088
9,1,1,1.088,1.088
10,1,1,1.088,1.088
11,1,1,1.088,1.088
12,1,1,1.088,1.088
13,1,1,1.088,1.088
14,1,1,1.088,1.088
15,1,1,1.088,1.088
16,1,1,1.088,1.088
17,1,1,1.088,1.088
18,1,1,1.088,1.088
19,1,1,1.088,1.088
20,1,1,1.088,1.088
21,1,1,1.088,1.088
22,1,1,1.088,1.088
23,1,1,1.088,1.088
24,1,1,1.088,1.088
25,1,1,1.088,1.088
26,1,1,1.088,1.088
27,1,1,1.088,1.088
28,1,1,1.088,1.088
29,1,1,1.088,1.088
30,1,1,1.088,1.088
31,1,1,1.088,1.088
32,1,1,1.088,1.088
33,1,1,1.088,1.088
34,1,1,1.088,1.088
35,1,1,1.088,1.088
36,1,1,1.088,1.088
37,1,1,1.088,1.088
38,1,1,1.088,1.088
39,1,1,1.088,1.088
40,1,1,1.088,1.088
41,1,1,1.088,1.088
42,1,1,1.088,1.088
43,1,1,1.088,1.088
44,1,1,1.088,1.088
45,1,1,1.088,1.088
46,1,1,1.088,1.088
47,1,1,1.088,1.088
48,1,1,1.088,1.088
49,1,1,1.088,1.088
50,1,1,1.088,1.088
51,1,1,1.088,1.088
52,1,1,1.088,1.088
53,1,1,1.088,1.088
54,1,1,1.088,1.088
55,1,1,1.088,1.088
56,1,1,1.088,1.088
57,1,1,1.088,1.088
58,1,1,1.088,1.088
59,1,1,1.088,1.088
60,1,1,1.088,1.088
61,1,1,1.088,1.088
62,1,1,1.088,1.088
63,1,1,1.088,1.088
64,1,1,1.088,1.088
65,1,1,1.088,1.088
66,1,1,1.088,1.088
67,1,1,1.088,1.088
68,1,1,1.088,1.088
69,1,1,1.088,1.088
70,1,1,1.088,1.088
71,1,1,1.088,1.088
72,1,1,1.088,1.088
73,1,1,1.088,1.088
74,1,1,1.088,1.088
75,1,1,1.088,1.088
76,1,1,1.088,1.088
77,1,1,1.088,1.088
78,1,1,1.088,1.088
79,1,1,1.088,1.088
80,1,1,1.088,1.088
81,1,1,1.088,1.088
82,1,1,1.088,1.088
83,1,1,1.088,1.088
84,1,1,1.088,1.088
85,1,1,1.088,1.088
86,1,1,1.088,1.088
87,1,1,1.088,1.088
88,1,1,1.088,1.088
89,1,1,1.088,1.088
90,1,1,1.088,1.088
91,1,1,1.088,1.088
92,1,1,1.088,1.088
93,1,1,1.088,1.088
94,1,1,1.088,1.088
95,1,1,1.088,1.088
96,1,1,1.088,1.088
97,1,1,1.088,1.088
98,1,1,1.088,1.088
99,1,1,1.088,1.088
100,1,1,1.088,1.088
101,1,1,1.088,1.088
102,1,1,1.088,1.088
103,1,1,1.088,1.088
104,1,1,1.088,1.088
105,1,1,1.088,1.088
106,1,1,1.088,1.088
107,1,1,1.088,1.088
108,1,1,1.088,1.088
109,1,1,1.088,1.088
110,1,1,1.088,1.088
